title,description,price,bedrooms,bathrooms,sqft,property_type,status,image_url,address,city,state,zip_code
Lakeway Golf Course Villa,"Elegant villa backing up to the golf course with a gourmet kitchen, wine room, and resort-style pool.",785000,4,3,3000,house,active,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800,105 Clubhouse Dr,Lakeway,TX,78734
East Riverside Studio Condo,"Efficient studio condo near the boardwalk with in-unit laundry, bike storage, and a community pool.",189000,1,1,550,condo,active,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800,1300 E Riverside Dr Unit 112,Austin,TX,78741
Bee Cave Hilltop Modern,"Striking modern design perched on a hilltop with walls of glass and Hill Country views in every direction.",1100000,4,3,3400,house,active,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800,14000 Hamilton Pool Rd,Bee Cave,TX,78738
North Loop Duplex,"Income-producing duplex in the vibrant North Loop neighborhood with strong rental history and recent updates.",520000,4,2,1900,house,active,https://images.unsplash.com/photo-1605146769289-440113cc3d00?w=800,5100 N Lamar Blvd,Austin,TX,78751
San Marcos Riverfront Retreat,"Peaceful retreat on the San Marcos River with a private put-in, covered deck, and mature cypress trees.",475000,3,2,1800,house,active,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,200 River Rd,San Marcos,TX,78666
South Lamar Micro-Loft,"Cleverly designed micro-loft with Murphy bed, built-in desk, and walking distance to everything on South Lamar.",215000,1,1,480,condo,active,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800,3200 S Lamar Blvd Unit 22,Austin,TX,78704
Steiner Ranch Entertainer's Dream,"Built for entertaining with an outdoor kitchen, fire pit, sport court, and a sparkling pool with waterfall.",725000,5,4,3500,house,active,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=800,4800 Steiner Ranch Blvd,Austin,TX,78732
Clarksville Cottage Charm,"Quaint Clarksville cottage with a white picket fence, updated plumbing and electrical, and a guest casita.",595000,2,2,1300,house,active,https://images.unsplash.com/photo-1518780664697-55e3ad937233?w=800,1200 W 10th St,Austin,TX,78703
Dripping Springs Ranch Estate,"10-acre ranch estate with a custom stone home, equestrian facilities, and seasonal creek.",950000,4,3,2800,house,active,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800,500 Creek Rd,Dripping Springs,TX,78620
The Triangle Luxury Condo,"Top-floor corner unit in The Triangle with panoramic views, two parking spots, and resort amenities.",465000,2,2,1350,condo,active,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800,4600 W Guadalupe St Unit 402,Austin,TX,78751
Kyle Farmhouse New Build,"Brand new farmhouse-style home in a master-planned community with a community pool and hike-and-bike trails.",340000,3,2,1800,house,active,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800,200 Lehman Rd,Kyle,TX,78640
Tarrytown Classic Tudor,"Stately Tudor in prestigious Tarrytown with leaded glass windows, a library, and manicured grounds.",1350000,5,4,3900,house,active,https://images.unsplash.com/photo-1572120360610-d971b9d7767c?w=800,2200 Pecos St,Austin,TX,78703
Buda New Construction Townhome,"Brand new three-story townhome with an attached garage, quartz counters, and energy-efficient appliances.",310000,3,2,1600,townhouse,active,https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=800,300 Main St,Buda,TX,78610
Crestview Mid-Century Gem,"Original 1955 mid-century home with a butterfly roof, cork floors, and a fully fenced backyard.",415000,3,1,1350,house,active,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800,1500 Morrow St,Austin,TX,78757
Anderson Mill Updated Split-Level,"Freshly updated split-level home with new flooring, paint, and fixtures in a quiet established neighborhood.",335000,3,2,1700,house,active,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=800,10200 Anderson Mill Rd,Austin,TX,78750
Manor Spacious New Build,"Generously sized new construction home with a flex room, covered patio, and granite countertops.",295000,4,2,2200,house,active,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=800,600 Lexington Blvd,Manor,TX,78653
Allandale Ranch Remodel,"Completely remodeled Allandale ranch with an open kitchen, spa bathroom, and drought-tolerant landscaping.",475000,3,2,1500,house,active,https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=800,6100 Bull Creek Rd,Austin,TX,78757
Leander Hilltop View Home,"Elevated lot with stunning sunset views, an open layout, and a three-car garage in a gated community.",410000,4,3,2600,house,active,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=800,1000 Crystal Falls Pkwy,Leander,TX,78641
East Austin Modern Row House,"Sleek modern row house with a rooftop deck, private yard, and solar panels in a walkable neighborhood.",525000,3,2,1550,townhouse,active,https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=800,1800 E Cesar Chavez St,Austin,TX,78702
Wimberley Cabin on Cypress Creek,"Rustic-luxe cabin with a hot tub, outdoor shower, and direct access to swimming holes on Cypress Creek.",385000,2,1,1100,house,active,https://images.unsplash.com/photo-1518780664697-55e3ad937233?w=800,100 Cypress Creek Ln,Wimberley,TX,78676
West Campus Student Condo,"Turnkey furnished condo near UT campus with a balcony, assigned parking, and on-site management.",245000,2,2,850,condo,active,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800,2400 Nueces St Unit 3B,Austin,TX,78705
Spicewood Springs Treehouse,"Unique multi-level home built into the hillside among live oaks with walls of windows and a canopy deck.",615000,3,2,1900,house,active,https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=800,7500 Spicewood Springs Rd,Austin,TX,78759
Circle C Contemporary,"Clean-lined contemporary in the Circle C community with pool, trails, and top-rated schools.",565000,4,3,2500,house,active,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,9000 Escarpment Blvd,Austin,TX,78749
Bastrop Pine Forest Hideaway,"Charming home surrounded by the Lost Pines with a metal roof, stone accents, and a screened porch.",315000,3,2,1650,house,active,https://images.unsplash.com/photo-1576941089067-2de3c901e126?w=800,100 Pine Forest Loop,Bastrop,TX,78602
Holly Street Container Home,"Award-winning shipping container home with industrial-chic design, a green roof, and a courtyard garden.",355000,2,1,900,house,active,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800,700 Holly St,Austin,TX,78702
Lakeline Oaks Townhome,"Low-maintenance townhome with granite counters, a fenced patio, and community pool near Lakeline Mall.",285000,2,2,1250,townhouse,active,https://images.unsplash.com/photo-1600047509358-9dc75507daeb?w=800,11000 Lakeline Blvd,Austin,TX,78717
Great Hills Executive Home,"Sophisticated executive home in Great Hills with a home theater, wine grotto, and chef's kitchen.",695000,4,3,3200,house,active,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800,8200 Great Hills Trail,Austin,TX,78759
Wells Branch Garden Home,"Single-story garden home with no HOA, a huge workshop garage, and a mature pecan orchard.",275000,3,2,1400,house,active,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=800,14500 Wells Port Dr,Austin,TX,78728
South Congress Luxury Flat,"Designer flat with Venetian plaster walls, custom millwork, and views of the Capitol from a private terrace.",585000,2,2,1450,condo,active,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800,1600 S Congress Ave Unit PH1,Austin,TX,78704
Hutto Country Homestead,"5-acre homestead with a custom farmhouse, chicken coop, garden beds, and a stocked pond.",435000,4,2,2100,house,active,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800,300 County Rd 137,Hutto,TX,78634
Zilker Modern A-Frame,"Iconic A-frame with vaulted ceilings, a lofted bedroom, and a backyard firepit steps from Barton Springs.",495000,2,1,1050,house,active,https://images.unsplash.com/photo-1598228723793-52759bba239c?w=800,2100 Kinney Ave,Austin,TX,78704
Brushy Creek Family Home,"Family-friendly home on a greenbelt lot with a playset, garden, and covered back patio.",380000,4,2,2300,house,active,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=800,2500 Brushy Creek Rd,Round Rock,TX,78681
Liberty Hill Acreage Estate,"Custom stone estate on 8 acres with a pool, horse barn, and views to the horizon.",850000,5,4,3700,house,active,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=800,1000 CR 200,Liberty Hill,TX,78642
West Lake Hills Glass House,"Architecturally significant glass house with cantilevered decks and panoramic canyon views.",1650000,3,3,2800,house,active,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800,800 Redbud Trail,West Lake Hills,TX,78746
Downtown Micro-Studio,"Efficient downtown studio with built-in storage, Murphy bed, and rooftop pool access.",175000,1,1,420,apartment,active,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800,400 W 2nd St Unit 511,Austin,TX,78701
Avery Ranch Corner Lot Home,"Bright corner-lot home with an oversized yard, updated kitchen, and community amenities.",405000,3,2,1900,house,active,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=800,15400 Avery Ranch Blvd,Austin,TX,78717
Montopolis Fixer-Upper,"Investor special in rapidly developing Montopolis with solid bones and a large lot zoned for ADU.",225000,2,1,950,house,active,https://images.unsplash.com/photo-1576941089067-2de3c901e126?w=800,600 Montopolis Dr,Austin,TX,78741
Lost Creek Luxury Home,"Elegant home in Lost Creek with a resort pool, outdoor living area, and Barton Creek Greenbelt access.",925000,4,4,3300,house,active,https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=800,3100 Lost Creek Blvd,Austin,TX,78735
Lockhart BBQ Trail Cottage,"Cute cottage near the BBQ trail with a front porch, pecan trees, and a detached workshop.",215000,2,1,1050,house,active,https://images.unsplash.com/photo-1518780664697-55e3ad937233?w=800,400 Market St,Lockhart,TX,78644
Spring Condos at the Domain,"Modern condo in the Springs complex with smart home features, quartz counters, and a fitness center.",325000,1,1,780,condo,active,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800,3000 Esperanza Crossing Unit 210,Austin,TX,78758
Oak Hill Split-Level,"Updated split-level on a wooded lot in Oak Hill with a media room and expanded deck.",365000,3,2,1800,house,active,https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=800,7000 W Hwy 290,Austin,TX,78736
North Austin Townhome with Yard,"Rare townhome with a private fenced yard, attached garage, and an open-concept main level.",345000,3,2,1500,townhouse,active,https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=800,9500 Parmer Ln,Austin,TX,78717
Jollyville Pocket Listing,"Well-kept secret in Jollyville with a pool, updated systems, and a cul-de-sac location.",425000,4,2,2100,house,pending,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?w=800,12000 Jollyville Rd,Austin,TX,78759
Taylor Heritage Home,"Beautifully restored heritage home on the square in downtown Taylor with tin ceilings and exposed brick.",265000,3,2,1700,house,active,https://images.unsplash.com/photo-1572120360610-d971b9d7767c?w=800,100 W 4th St,Taylor,TX,76574
River Place Wooded Retreat,"Secluded home on a heavily wooded lot in River Place with a hot tub, fire pit, and trail access.",675000,4,3,2700,house,active,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,6500 River Place Blvd,Austin,TX,78730
Elgin Country Charmer,"Sweet country home on 2 acres with a wraparound porch, barn, and room for a garden.",285000,3,2,1500,house,active,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800,200 Old McDade Rd,Elgin,TX,78621
Second Street District Condo,"Ultra-premium condo on Second Street with concierge, valet parking, and floor-to-ceiling lake views.",1450000,2,2,1800,condo,active,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800,200 W 2nd St Unit 1801,Austin,TX,78701
South Manchaca Tiny Home,"Architect-designed tiny home on a full lot with an outdoor kitchen, workshop, and room to expand.",245000,1,1,650,house,active,https://images.unsplash.com/photo-1598228723793-52759bba239c?w=800,10500 Manchaca Rd,Austin,TX,78748
Shady Hollow Family Home,"Family home on a greenbelt lot in Shady Hollow with a swim center, tennis courts, and nature trails.",445000,4,3,2400,house,active,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=800,4000 Shady Hollow Dr,Austin,TX,78748
Elroy Airfield Loft,"Industrial-chic loft conversion near the former Elroy airfield with soaring ceilings and original steel beams.",275000,1,1,1100,condo,active,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800,8000 Elroy Rd,Austin,TX,78617
Lago Vista Lake Travis Home,"Hillside home with commanding Lake Travis views, a multi-level deck, and community boat ramp access.",525000,3,2,1900,house,active,https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=800,3500 Lohman Ford Rd,Lago Vista,TX,78645
West Gate Boulevard Townhome,"Newer townhome with a rooftop deck, attached garage, and quick access to Mopac and downtown.",385000,2,2,1350,townhouse,active,https://images.unsplash.com/photo-1600047509358-9dc75507daeb?w=800,4400 W Gate Blvd,Austin,TX,78745
Marble Falls Waterfront Cottage,"Charming cottage on the shores of Lake Marble Falls with a private pier and sunset views.",395000,2,2,1200,house,active,https://images.unsplash.com/photo-1518780664697-55e3ad937233?w=800,600 Lakeside Dr,Marble Falls,TX,78654
Tech Ridge Modern Flat,"Sleek modern flat near Tech Ridge with polished concrete floors, a chef's kitchen, and fiber internet.",265000,2,1,1000,apartment,active,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800,12300 N IH-35 Unit 204,Austin,TX,78753
Windsor Park Vintage Charm,"Original 1960s charm with terrazzo floors, picture windows, and a huge live oak in the front yard.",355000,3,1,1250,house,active,https://images.unsplash.com/photo-1576941089067-2de3c901e126?w=800,5400 Westminster Dr,Austin,TX,78723
Rollingwood Executive Estate,"Grand estate in Rollingwood with a motor court, guest quarters, pool, and lush private grounds.",1750000,5,5,4500,house,active,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800,400 Rollingwood Dr,Rollingwood,TX,78746
South First Arts District Condo,"Eclectic condo in the heart of the South First arts district with gallery views and a courtyard.",315000,1,1,750,condo,active,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800,1000 S 1st St Unit 5,Austin,TX,78704
Sunset Valley Charmer,"Updated home in Sunset Valley with no city taxes, a fenced yard, and a two-car garage.",395000,3,2,1550,house,active,https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=800,3300 Jones Rd,Sunset Valley,TX,78745
Onion Creek Golf Course Home,"Elegant home overlooking the Onion Creek golf course with a lanai, spa, and gourmet kitchen.",545000,4,3,2800,house,active,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800,10900 Onion Creek Pkwy,Austin,TX,78748
Driftwood Vineyard Estate,"Stunning estate in the Driftwood wine country with a tasting room, pool, and Hill Country panorama.",1150000,4,4,3200,house,active,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=800,500 Elder Hill Rd,Driftwood,TX,78619
Cherrywood Bungalow,"Classic East Austin bungalow in Cherrywood with original hardwoods, a deep lot, and a garden shed.",445000,2,1,1100,house,active,https://images.unsplash.com/photo-1598228723793-52759bba239c?w=800,3600 Cherrywood Rd,Austin,TX,78722
Pflugerville Stone Crossing Home,"Popular Stone Crossing community home with a pool, community park, and excellent schools.",375000,4,2,2300,house,active,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=800,19000 Stone Crossing Dr,Pflugerville,TX,78660
Sixth Street Penthouse Loft,"Top-floor loft above the entertainment district with sound-insulated windows and a private roof terrace.",495000,1,1,1200,condo,active,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800,500 E 6th St Unit PH,Austin,TX,78701
Johnson City Sunday House,"Restored German Sunday house near the LBJ Ranch with stone walls, a tin roof, and modern updates.",235000,2,1,900,house,active,https://images.unsplash.com/photo-1572120360610-d971b9d7767c?w=800,200 Nugent Ave,Johnson City,TX,78636
South Park Meadows Apartment,"Ground-floor apartment with a patio, assigned parking, and quick access to shopping at Southpark Meadows.",195000,2,2,950,apartment,active,https://images.unsplash.com/photo-1560185893-a55cbc8c57e8?w=800,9500 S IH-35 Unit 107,Austin,TX,78748
Barton Creek Lakeside,"Exclusive Barton Creek residence with a private lake, tennis pavilion, and resort-caliber amenities.",2400000,5,5,5200,house,active,https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=800,8000 Barton Club Dr,Austin,TX,78735
North Shoal Creek Modern,"New modern build in North Shoal Creek with clean lines, an open courtyard, and a green roof.",625000,3,2,1800,house,active,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,2800 Shoal Creek Blvd,Austin,TX,78757
Whisper Valley Net-Zero Home,"Innovative net-zero home with geothermal HVAC, solar panels, and Google Fiber in Whisper Valley.",305000,3,2,1600,house,active,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=800,9300 Whisper Valley Blvd,Austin,TX,78653
San Marcos Student Investment,"Well-maintained investment property near Texas State with consistent rental income and recent upgrades.",195000,3,2,1200,house,active,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=800,800 N LBJ Dr,San Marcos,TX,78666
Jester Estates Private Retreat,"Gated Jester Estates home with a pool, spa, outdoor fireplace, and greenbelt views.",815000,4,3,3100,house,active,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?w=800,7800 Jester Blvd,Austin,TX,78750
Del Valle Homesite Ready,"Move-in ready home on a half-acre lot in Del Valle with room for expansion and no HOA.",255000,3,2,1400,house,active,https://images.unsplash.com/photo-1576941089067-2de3c901e126?w=800,4000 Ross Rd,Del Valle,TX,78617
Rainey Street Penthouse,"Ultra-modern penthouse on iconic Rainey Street with a private pool, smart glass, and concierge service.",1850000,2,2,2200,condo,active,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800,80 Rainey St PH1,Austin,TX,78701
South Lamar Village Townhome,"Three-story townhome in a vibrant mixed-use development with retail, dining, and a community courtyard.",455000,2,2,1400,townhouse,active,https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=800,2800 S Lamar Blvd Unit 12,Austin,TX,78704
Volente Lakefront Cabin,"Cozy lakefront cabin on Lake Travis with a private dock, outdoor kitchen, and starlit hot tub.",515000,2,2,1300,house,active,https://images.unsplash.com/photo-1518780664697-55e3ad937233?w=800,15000 Volente Rd,Volente,TX,78641
Cedar Valley Ranchette,"3-acre ranchette with a custom stone home, workshop, and seasonal creek in quiet Cedar Valley.",365000,3,2,1700,house,active,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800,700 CR 258,Cedar Creek,TX,78612
East Cesar Chavez Warehouse Loft,"Raw industrial loft in a converted East Cesar Chavez warehouse with 16-ft ceilings and a freight elevator.",415000,1,1,1300,condo,active,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800,1200 E Cesar Chavez St Unit 4,Austin,TX,78702
Dripping Springs Schoolhouse Conversion,"Historic schoolhouse lovingly converted to a modern home with original bell tower, arched windows, and a meadow.",475000,3,2,2000,house,active,https://images.unsplash.com/photo-1572120360610-d971b9d7767c?w=800,800 Mercer St,Dripping Springs,TX,78620
Garrison Park Starter Home,"Affordable starter home near Garrison Park with fresh paint, new appliances, and a carport.",285000,2,1,1050,house,active,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=800,6700 Manchaca Rd,Austin,TX,78745
Lakeway Condo with Marina Access,"Ground-floor condo with marina slip access, lake views, and resort-style amenities in Lakeway.",345000,2,2,1100,condo,active,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800,200 Marina Village Cv,Lakeway,TX,78734
